customer_id,name,country,email,created_date
1,Allison Hill,Australia,donaldgarcia@example.net,2025-12-05
2,Javier Johnson,Canada,jesseguzman@example.net,2024-06-14
3,Meredith Barnes,Canada,zlawrence@example.org,2024-04-15
4,Gina Moore,Australia,curtis61@example.com,2025-01-26
5,Renee Blair,United Kingdom,dudleynicholas@example.net,2024-11-08
6,Lisa Hensley,United States,janetwilliams@example.org,2024-11-02
7,Dr. Sharon James,United States,xreid@example.org,2025-03-08
8,Michael Miles,United States,lynchgeorge@example.net,2024-08-25
9,James Mayo,Australia,gabriellecameron@example.org,2024-07-31
10,Renee Morales,Canada,clarksherri@example.net,2024-12-11
11,Jonathan Wilkerson,Australia,ithomas@example.org,2025-12-30
12,Nicole Patterson,Australia,icox@example.net,2025-09-15
13,Anthony Rodriguez,Japan,laurahenderson@example.org,2025-03-30
14,Zachary Rice,Canada,frazierdanny@example.net,2024-09-28
15,Gina Carter,Japan,shawnmckay@example.net,2024-09-23
16,Pamela Romero,Germany,harrellkenneth@example.net,2025-10-07
17,Brittany Farmer,Canada,georgetracy@example.org,2025-02-24
18,Sandra Parker,Canada,allenashley@example.org,2023-12-22
19,Rose Spence,Canada,davidalvarez@example.net,2024-04-23
20,Shane Henderson,United States,sarahcampos@example.net,2024-06-18
21,Jennifer Powers,United States,samuel87@example.org,2024-08-30
22,George Chapman,Japan,briannasmith@example.net,2026-04-17
23,Austin Johnson,Japan,chad34@example.net,2025-09-03
24,Carlos Walls,Canada,esanchez@example.com,2024-06-01
25,Matthew Gomez,Japan,uowens@example.org,2026-06-22
26,Maria Brown,United States,lauren13@example.org,2024-06-01
27,Brenda White,Australia,ewright@example.com,2025-12-12
28,Matthew Fernandez,Australia,novaksara@example.org,2024-04-25
29,John Hancock,Australia,martinaaron@example.com,2024-09-25
30,Rachel Mitchell,Japan,smoore@example.org,2023-11-09
31,Kimberly Adkins,Germany,williamsthomas@example.net,2024-04-11
32,Jordan York,United States,larsonemma@example.org,2025-04-29
33,Steve Sanchez,Germany,harveyrobert@example.net,2026-01-05
34,Taylor Harris,Japan,john62@example.net,2026-05-09
35,Eugene Walton,United Kingdom,smithchristine@example.net,2024-01-13
36,Daniel Baker,Canada,nicole35@example.com,2024-04-12
37,Joshua Turner,United States,contrerasangela@example.net,2024-01-18
38,Brandy Wilson,Australia,newtoneric@example.com,2026-03-07
39,Grant Watts,Germany,william40@example.org,2026-04-22
40,Donald Smith,United Kingdom,danagreen@example.net,2025-06-27
41,Jessica Smith,United Kingdom,landryhannah@example.org,2025-12-05
42,Jacob Tran,United States,tanderson@example.com,2023-10-11
43,Christine Wright,United States,gomezanita@example.com,2026-04-01
44,Tammy Young,United Kingdom,theresacochran@example.com,2023-09-18
45,Tim Patton,Canada,vpham@example.org,2024-09-28
46,Michael Reyes,Canada,garrisonjeffrey@example.com,2025-02-04
47,Robert Perez,Germany,kellerraymond@example.com,2023-11-26
48,Diana May,Canada,ifrazier@example.com,2023-09-22
49,Wesley White,United Kingdom,benjamin96@example.com,2024-12-10
50,William Wilson,United Kingdom,jonathanfletcher@example.org,2025-10-26
51,Kimberly Ball,Japan,michaeljones@example.net,2025-01-04
52,Mary Martinez,United Kingdom,william65@example.com,2026-07-29
53,Cameron Fisher,Canada,lbyrd@example.net,2026-01-11
54,Joshua Smith,Australia,jason99@example.net,2024-12-23
55,Jeremy Lewis,Germany,yleon@example.net,2024-04-30
56,Diane Beck,Japan,clarence34@example.org,2024-06-15
57,Angel Riggs,Canada,,2024-06-08
58,Janet Ross,Germany,dianasmith@example.org,2025-06-01
59,Robert Dominguez,Canada,pwilliams@example.org,2025-07-20
60,John Schmidt,Japan,stephanie79@example.net,2025-10-03
61,Terry Griffin,United Kingdom,juliawells@example.com,2024-08-29
62,Destiny Strickland,Australia,rsims@example.com,2023-12-09
63,Cynthia Rogers,Japan,taylorjesse@example.net,2024-04-04
64,Amy Russell,United Kingdom,nperry@example.com,2025-04-07
65,Lauren Dominguez,Japan,wwoods@example.com,2025-04-07
66,Tiffany Barnes,United States,tracynelson@example.com,2023-09-25
67,Michael Yates,Australia,marycalhoun@example.net,2025-11-17
68,James Elliott,Canada,millerroy@example.com,2024-05-19
69,James Lewis,Canada,matthew64@example.com,2024-09-05
70,Julie Curry,Australia,cookemichael@example.net,2023-11-25
